User,Tweet
poligrafnews,Je li savez Rusije i Kine protiv SAD prazna priča? https://t.co/L6j8ZhNk3p #widder #sad https://t.co/HNTg4QoyH0
NanoL87,"Era feliz y si lo sabía, pero la fuente de mi felicidad aún sabiendo que lo era, decidió irse y no serlo más, así que sí, en ocasiones no importa si valoras lo que te hace feliz, si decide irse, solo te queda aceptarlo y ya! #sad"
felikichi,"【拡散希望】
広めたい、広まって欲しいので定期的に自己リツイします。
このマークの他にもマークを作ってまとめています。
マークやカラー、バリエーションのリクエストも受け付けます
コメント頂けると嬉しいです。

#社会性不安障害
#SAD
#ヘルプマーク
https://t.co/gEZLmTaj6D"
mr_rae,"Good morning folks,

Really, really sad news this morning.

I’ve not got much to say other than once I realised it was real I’m not ashamed to admit I welled up a bit.

RIP. 

AJ. X 😢🤘💔 #sad #RIPTaylorHawkins #taylorhawkins #foofighters #musicnews #TaylorHawkinsForEver https://t.co/GKfGXD3Xj1"
SHAHIDAYAZKHAN5,"RT @realwordsplayer: 🍀🍀🌱🌱🍀🍀

*Earlier, only the heart used to be sad, now the soul also having its effect.* 

*words player* 
🍀🍀🌱🌱🍀🍀

#sad…"
RoemelloV,RT @Howard_Cole: Meanwhile Bellinger has 10 strikeouts in 15 at bats and is as lost as ever. Pretty soon we’re gonna need a designated hitt…
LuisGer52383737,Extraño esos momentos 😥 #Sad https://t.co/zBzEcBCUNR
vH7D_,"https://t.co/RUuXTnXjG3

Edward Cornell's Affidavit. This is actually sad. This man was a member of the CAF, was awarded with the MoB, then what went wrong ? // Is this man getting the help he needs ? Is the VA not doing their job ? #sad #covid https://t.co/xrWI3Zns8d"
KJFred8,All them oranges in Florida and can’t even make an orange crush #sad
mookiebetta,#Sad https://t.co/w2QYBPEp1Z
camilacolonce,"Imagínate ser gringo y no poder cantar “cuando te beso te llevo a otro universo,  y yo me elevo si contigo converso” 
#sad"
lulucherri,Lu and zay beat my ass in tic tac toe forehead wars... ILL REMMEBER GHIS YALL Ill coke bavk #sad https://t.co/fsocAImMSR
Creamyyurri,@joliinjapan #Sad times
michigodala,#tumblr #hot #sad https://t.co/1bIwyBKyr5
Subhrajyotiidas,"Do you look like this
When You are #Sad ?? 😮‍💨😔 https://t.co/pKSsC1SXtR"
MarkStukeyII,#sad https://t.co/82XAqmeaFX
gigisellaa,#sad
cantgetnoaol,#taylorhawkins oh man. Condolences to all and everyone affected. #shocked #sad @foofighters lost for words
ChhayaS98071182,"RT @LifeofBTS1: #Sad #Jungkook #BTS 
Isn't it ryt?! https://t.co/XOxnjAUA8b"
Mingukie97,"RT @BTS_ARMY_TAEJI: Todo lo que quiero en esta vida es que este dolor tenga un propósito...
[🥀 💔⛓️]
#frases #sad #kpop #BTS"
Mingukie97,"RT @BTS_ARMY_TAEJI: Es horrible sentir que no vales nada...
[🥀 🖤 ⛓️]
#frases #sad #kpop #BTS"
hoongitos,"RT @MDevil019: Pocas personas saben como soy realmente, el resto que hable lo que quiera.

#fyp #mood #frases #sad"
aryan_vibhor,@sanket wondering if @palkisu would indulge into such journalism! I think it's all about who you work for and where your loyalty lies.#Sad
hoongitos,"RT @MDevil019: Cuando aprendas a decirme las cosas en la cara,ese dia serás un rival para mí,por ahora solo eres mi fan.

#fyp #mood #frase…"
SandyEggoJoe,@SamNeher24 You got knocked out the same round as SDSU. #SAD
LifeofBTS1,"RT @LifeofBTS1: #Sad #Jungkook #BTS 
Isn't it ryt?! https://t.co/XOxnjAUA8b"
YasminPolvilho,"show do Machine Gun Kelly foi mto bom, queria ta la ter visto ao vivo #sad"
realwordsplayer,"🍀🍀🌱🌱🍀🍀

*Earlier, only the heart used to be sad, now the soul also having its effect.* 

*words player* 
🍀🍀🌱🌱🍀🍀

#sad #quote #poetry 
#پنجاب_دی_ونڈ_نامنظور
#کپتان_کاسپاہی_عطااللہ
#ShapeOfYouWithShehnaaz"
galactic_ditto,RT @EliteMassager: #followers #happy #style #life #photo #nature #cute #insta #model #music #travel #likesforlike #girl #selfie #viral  #li…
EliteMassager,#followers #happy #style #life #photo #nature #cute #insta #model #music #travel #likesforlike #girl #selfie #viral  #liker #lfl #yourself #lifestyle #likeback #sad #thoughts #writer #photographer #k #photoshoot #india https://t.co/fV095YEP1P
imslimshelby,I miss this body so much. I am #sad I fr thought I was so fat and now I can’t even fit in those pants 🙂👍🏻 https://t.co/9HMPNQNgOa
dd_nguyennn,"Nhớ 1 thời 
ai hứa không xa ....
#Sad https://t.co/MdySiv55pm"
ihugjeeno,nctjevno suspend #sedih #sad
Creamyyurri,@SMITH_S_M_ #Sad
Nickey_is_Bored,https://t.co/tz3qu5UCZb now i am #sad. 😪 #RIPTaylorHawkins a sad day for #FooFighters fans!
CertificatesJb,"RT @kipstersbiscuit: Thats it eldest son has bought and moved into his first house today, mixed emotions here #htlmp #MHHSBD #kipsters #hap…"
DouniaArezki,#Algerian #sad #GirlOfMyDreams https://t.co/ssgzMVgMgD
terrilahlou,Watch Foo Fighters Play ‘Everlong’ at Their Final Gig With Taylor Hawkins https://t.co/Ie0pIMlYxz via @RollingStone #FooFighters #RIPTaylorHawkins #sad
loveyoujimin16,"RT @LifeofBTS1: #Sad #Jungkook #BTS 
Isn't it ryt?! https://t.co/XOxnjAUA8b"
VYCanis_Majoris,#sad #descripciongrafica #restinpeace 🙃 https://t.co/Ic1RY8UCjr https://t.co/On83zoEJA6
LifeofBTS1,"#Sad #Jungkook #BTS 
Isn't it ryt?! https://t.co/XOxnjAUA8b"
lizzieminxx,@IMLUJ4MIN #emo #sad #depresion #eno #renovacion
DramaMama04609,@WeThePe64808767 @Sen_JoeManchin Awe the conservative #OldYtMan isn't happy. That's #Sad Thanks @Sen_JoeManchin the rest of us approve of adding the most qualified judge the Supreme Court has sitting on the bench. Well done Sir! https://t.co/8mHr6Wolbx
DeskOfJethro,"@MarketRebels Nothing like doing this while most of your population starve, with the ""lucky few"" shipped off to Russia to work in labour camps. 

Really #sad like genuinely depressing, not trolling."
bharatlyrics,"LYRICS OF GALWAKDI (TITLE TRACK): The song ""Galwakdi (Title Track)"" is sung by #NimratKhaira from #TarsemJassar, #WamiqaGabbi, #BNSharma and #RaghveerBoli starrer Punjabi film #Galwakdi, directed by #SharanArt. GALWAKDI (TITLE TRACK) is a #Sad song, comp

https://t.co/IvK1vnyj4c https://t.co/ysRJCfTndK"
ZWilliamzyn,RT @CheesecakeGunty: I spend so much time on hinge (2 mile radius) that I can name half the girls at this bar without even meeting them. #s…
JoeyAndKristine,"@KristySwansonXO I use to Love the Academy Awards.
My family would make it a Special nite..Get snacks And watch the hole thing. My grandmother loved Billy Crystal. now with all the Politics we are out. #Sad😢.@TheAcademy"
risewalter,But @SenSasse ya could agree with the judicial philosophy of Kavanaugh AND Coney Barrett. You continue to disappoint.  I’m always hopeful you are an independent thinker but alas you always turn out to be only a sheep. #sad https://t.co/JIlHN7kkuK
6SProductions,thoughts are with @foofighters right now #sad
RCDesenhista,"Drawing something sad :'')

Zay!sans and Chara!Unknowntale 

#unknowntale #sans #chara #sad https://t.co/s0zhyYaUje"
CheesecakeGunty,I spend so much time on hinge (2 mile radius) that I can name half the girls at this bar without even meeting them. #sad
Ronigrl,This whole game hurts...I'm #SAD 😩❤️💙
SHTAN_U,First they BLACKBALLED Darshan and now this? The #LCS needs to ANSWER for these crimes against the very BEST toplaners their region has EVER SEEN! #SAD https://t.co/10e83OVVNI
teresarieckhof,Sinto muito sua falta meu neném 😞🖤 eu fico tristinha ao lembrar de você 😞 #sad #lilangel https://t.co/kB7JHSG6tt
thekatrina28,@9NewsQueensland RIP. 😥😥 #sad
chavagol,"Estoy más triste que un cholo sin grabadora, y por trabajo no fui a verlos… #sad https://t.co/cix4l0n1c7"
itsleonorrivera,Day 6 of my Facebook locked out. It has been verified as they provide me with authentication link and they were also able to send me passcode to unlock but none works! I also sent emails to their team but I keep on going on circles. 15 yrs of pics &amp; contacts are there. #SAD☹️
dfsp64,"@geno_bisconte @jimmyfallon @jimmykimmel They are both better than @colbertlateshow , #sad"
BaseballKris16,"Loss 4 Wds!😭 So devis &amp; in tears rt now. Cant believe,another grt 🥁 &amp; per gone 2 soon. So Horrible! Like Neil,theres no""Replacing""Taylor H. 🙏 2 @foofighters,staff,his Fam.""Blessed are those who morn,4 they will be comforted.""(Matt 5:4) #Shocked #Sad #Tragedy #RIP #FooFighters https://t.co/8AKimP5QwD"
unajungwonista,#sad #emo #Depresion #f
luatstars,@wondersuaste #sad https://t.co/WPxiMx4WxB
