User,Tweet
DoktorEdin,@klixba Vi polahko pokusavate privikavat narod na podjelu drzave. Na svaki nacin unistavate #BiH zajedno sa #NATO-m #EU i #SAD-om. Vi nikada niste radili na gradnji drzave i jacanju drzave vec radite kroz tz. komromise da sto vise podjelite drzavu na 3 djela. Dokazite suprotno
eBookLingo,"A Choice No Mother Should Have To Make by Mary Jane Markey

📚 https://t.co/MzjO0NrKyo

#Book #Read #WritingCommunity #BookPromo #BookPlug #BookLover #BookBuzz #Biographical #emotional #sad https://t.co/WArbnD810k"
DNus48,"Gegara mas Jokowi bilang mudik harus booster semua masyarakat langsung pengen vaksin, #sad https://t.co/JYpDni4LEO"
rachfriedbieb,wait so i think im done vlogging cuz im trying to edit and rewatching my footage has turned so cringy i cannootttttt #sad #needaneditor
RosieWrites2016,That moment when the author who quite literally saved your life and inspired you to write slowly becomes worse and worse of a person everyday then virtue signals by pledging to charities...#sad #terf
MahendraGadhvi7,सोच रहा हूं कि दर्द भरे गाने सुनूं पर दर्द नही मिल रहा कोई है जो मुझे थोड़े दिन के लिए अपना दर्द उधार दे सके।#sad #dard
CarlVernet,RT @TerrierWheaten: My morning bone was cut in half :( Can u Pwease make me whole by giving me the other half Hoomom?  #wheatenterrier #dog…
XzForsythe,"This feeling is getting me so numb, my heart can't decide what way I should follow.

#top #sad #thought #Pensamiento"
grannysue1996,"Binge watching #ChicagoFire and so many aren’t on it anymore. Otis, Gabby, Antonio, their dad, Connie, Dr. Rhodes and Casey and now Brett too. And that’s just one episode. #Sad #OneChicago @NBCOneChicago"
Giovann08483794,"@iris_foxxo I LOVE IT SO MUCH But Excuse Me I'm So Sorry I'm A Little Sad 🥺🥺😭😭😞😭😭 😭😭🌧️🌧️🌧️😭😭😭
 #sorry #sad"
nike_2ne1,"Maaf aku sempet ngilang, kmren aku sibuk dipernikahan BD, yahh pernikahan sahabatku itu btw happy wedding ayanggkuu🖤
Yahh hariini hari ke 2 tanpa liat bd secara langsung dan bahkan tanpa da kontekan sama sekali, no chat, no call, Dan hariini juga hari ke 6 kerja tanpa bd;)
#Sad"
LiamHellsing,"""Las caricaturas de antes eran más bonitas y creativas""

#memexico #anime #gaming #sad #sadmemes #aesthetic #gothic #rock #ResidentEvil #SilentHill #comics #marvel #dccomics #Naruto https://t.co/N4hktOthUJ https://t.co/9enTa6DDks"
lawntechkenny,#SAD https://t.co/EKUF3rKcow
GrosUsai,"RT @Kindness626: Sad face, sad teary eyes 😢 This baby just wants to feel loved. Please #adopt Simba. Take a look ⬇️ 💔 #sad #lonely #parent…"
whyouhatebilly,"No program lives off one run, like Geiger mason

#Sad https://t.co/zRTvqLOM8l"
ZHlMIM,@songrningi gUE BUKAN ANAK PUNK BYASA #emo #sad
iampettyale,"últimamente...eh perdido la conexión con mi entorno y me siento desaparecer :(
#escritos #sad"
MrRiyan27,जब तुम्हे आखिरी बार देखा #sad #love #hindi #status #foryou #Trending https://t.co/5PUsNf4pR2
iramaJsucraM,"Frank Nilinkina, Boban, Josh Green &amp; Chriss all at once. The mavs gave up #sad"
Enter_Z3R0,RT @XmiEmi: Gave this to my bf because he wasnt talking to me #sad https://t.co/5YMGIEkPsH
iIuvheejake,WALA NANG SUNOD HUHU look oh im #sad na
nctjisuxng,@heeseudng #sad
Kindness626,"Sad face, sad teary eyes 😢 This baby just wants to feel loved. Please #adopt Simba. Take a look ⬇️ 💔 #sad #lonely #parent #dog #AdoptMePets #AdoptDontShop #animallover #spreadlove #world #FactsMatter #cute #WrestlingCommunity #Read #Reading #booklover #networking #naturelover https://t.co/ipt53X6Nl6"
GigaterAlex,RT @XmiEmi: Gave this to my bf because he wasnt talking to me #sad https://t.co/5YMGIEkPsH
wendy_soxy1girl,RT @ThisPeggy: @wendy_soxy1girl @HawleyMO Sounds to me like @HawleyMO is soft on crime. Or maybe he has a thing for violent sex offenders.…
galactic_ditto,RT @EliteMassager: #myself #happy #style #life #photo #nature #cute #insta #model #music #travel #likesforlike #girl #selfie #viral  #liker…
fionac327,All my friends hav the flu #sad
ThisPeggy,@wendy_soxy1girl @HawleyMO Sounds to me like @HawleyMO is soft on crime. Or maybe he has a thing for violent sex offenders. #Sad
EliteMassager,#myself #happy #style #life #photo #nature #cute #insta #model #music #travel #likesforlike #girl #selfie #viral  #liker #lfl #yourself #lifestyle #likeback #sad #thoughts #writer #photographer #k #photoshoot #india https://t.co/hDgLBQCWRV
Hanbin_thebest,"Una vez se saltó mi carta, me dolió, pero prefiero que sea él el que rechaza mis cartas y no uno de mi barrio. 

#lew #crying #sad @TPST_twt 💔💔💔 https://t.co/DaVdWbVy7N"
einerdrake,"White House is forced to make correction after Biden suggested US troops WOULD be sent into Ukraine and had already been there in speech slip up to paratroopers in Poland  
via https://t.co/2gxVo5uIky #sad #scary https://t.co/aja1XWR3j1"
JuanSan32227243,RT @Ro8391: #GlobalWarming #Sad https://t.co/uAdrHF6bGs
spamquotesc,"How can one person make you feel so good. But when you loose them its like a piece of you is gone. Why you have to leave me .
#upcoming #sad #sadquotes #follow me #ex"
bugs_bhargava,"@ArvindKejriwal 
The USA will no longer be a super power #meltdown 
USD will drop #Sad 
Langley will curb it's expenses to save themselves #hmmm
Flow will #stop
#NewWorldOrder vl change d change
Basically u r d0 0med
That laugh will cost u a lot!

#Savethistweet

@HarishKhuranna"
Sashaly57530067,I literally had just enough money for one gas fee. This is bs. Lost it in my failed transaction 😭 #saitamadk #saitrealty #ethgas #sad  #wannacryfr https://t.co/Y2T3X8EOTY
ClohessyRobert,@thetopjob Yep ! Dumb is correct! #sad
anklebiter_t,"Got a hole in my soul growing deeper and deeper 🎶.
.
.
#me #music #lyrics #bmth #bringmethehorizon #mirror #elevator #mind #head #feelings #emo #this #girl #sad #psycho #hate #person https://t.co/ZzHRO5Eubq"
0Deshimaru,I  wish I had more money to buy better tech to make better youtube streams😢😢#0Deshimaru #blackgirlgamers #sims4 #lifeisstrangeremastered #HorizonZeroDawn  #cyberpunk #pcgamer #playstation5 #consolegamer #sad
NauticalNathan,"@bykevinclark @NoraPrinciotti that’s 2 grand juries and no indictment, are y’all going to hold a podcast on that or continue to blast Deshaun, it really looks unprofessional on that entire podcast that you had last week #sad"
Ssddsam,"#american #bulldog Skye is so cute. Got her own blanket, pillow and is snoring away. She makes #insomnia nights less lonely #depressed #sad #mentalhealth #keepgoing I'm not good at all right now but I keep reminding myself that I have beaten this before and I can do it again https://t.co/BzpsOyWqmi"
OfertasVips,RT @_TyLand24_: #APPLAUSE #Sad #SadSam #Puppy #Pupper #Dog #PuppyDog #Animals #StuffedAnimal #Vintage #VintageStuffedAnimal #Tall #PLUSH #V…
PNut39285600,@CathyColeFL @rhonda_harbison @NoLieWithBTC @BenSasse 👎 #sad
TrevorPetersTV,@EileenOsborne19 I am #sad but #blessed
cowgirlpharb,RT @treacherousbitc: #sad @cowgirlpharb
_TyLand24_,#APPLAUSE #Sad #SadSam #Puppy #Pupper #Dog #PuppyDog #Animals #StuffedAnimal #Vintage #VintageStuffedAnimal #Tall #PLUSH #VintagePlush #TOY #DogToy #VintageToy #PLUSHTOY #Mercari #SALE #MercariSale #PUPPIESFORSALE #DOGSFORSALE #TOYSFORSALE #DOGTOYSFORSALE https://t.co/TEKVQJeRfx
MageshBharathi6,"#MB
#MBPHOTOGRPHY 
#MAGESHBHARATHIPHOTOGRAPHY #sadmonkey #sad #sadness #sadlife #monkeylife #life #animals #animal #fellings #monkeys #monkeyface #indianmoney #india #blackandwhite #blackandwhitephotography  #streetphotography #bbc #bbcearth #bbctravel #bbcnature #bbcanimals https://t.co/6Jh4dm3zqD"
Foo_Fightersowo,"RT @LaCuentaDelFan: A veces me pongo muy sad ;(
.
.
.
#frases #tumblr #rubius #cuarentena #sad :( https://t.co/YGpaKETHZK"
LilHotPxcket,RT @LilHotPxcket: My pet squirrel shauntavion quantavious dingleberry III passed away I’m gonna be taking a 456 minute break from the Inter…
zaintzaplus,"RT @InfocomS: #Recordando

➡️Atención Centrada en la Persona

👇¿Esto ya lo hacemos?👇

✔️✍️@acpgerontologia:  ""Si nuestra respuesta ante las…"
MentalHealthBo5,"RT @transpoticket16: TODAY’S THE DAY!!! 
🤷🏻🤷🏻🤷🏻 

#MentalHealth #MentalBreakdown #Sad #Mood #Life #TransIsBeautiful #Memes https://t.co/WEJ…"
transpoticket16,"TODAY’S THE DAY!!! 
🤷🏻🤷🏻🤷🏻 

#MentalHealth #MentalBreakdown #Sad #Mood #Life #TransIsBeautiful #Memes https://t.co/WEJy5f9PcG"
AlisonG75772620,"A pesar de todas las razones que me diste para irme, siempre estuve ahí #sad #love https://t.co/FpD5YSEX6D"
h_alimaaa,@esaias91 Game paved the way for strippers to rap and now Cardi has surpassed him #sad
xAsianXGirlx,"#SAO÷#SAD NO
#CHANGDRA #REPUBLIC #MECCA CAN't #RESPECT #SHE😢💔#HONORING #KILLING OF #SHE THE #VIENTICIAN
#ENGLESE #MEtters #KARKAI
#KILLING TO #SAIL THE #SEA TO #MECCA #KILLING #SHE #ME I
#laissera
Ola love she #HONORing
#MOTHER
🚫#Last #PaLi #MONTMARTRE
https://t.co/z138wafrYB"
KidSaleen,"@samkirmani17 @heauxmeauxsex Good luck with your ongoing battle with reality. Understanding the complexities of the world must be really tough for you. 
I understand why you must lash out. #sad"
drunkbutter,"-tells someone that I’m not well..-
-tells them how I’m massively depressed-
Them-#edtwt #sad #depression #alone https://t.co/rJGq4ye2n1"
FrankiepuUwU,"Pregunta del día… ¿Qué están dispuestos hacer para lograr un objetivo?. Cualquiera que fuese. Alguna vez escuché esto: “Solo las personas que están dispuestas a arriesgar ir demasiado lejos, pueden encontrar lo lejos que pueden llegar”. #frases #RT #depresion #Lecturas #sad https://t.co/g0Zj9NdZau"
tangbintaang,"Bisakah kamu kembali?
Aku sakit sejak kamu pergi 

#galaubrutal #Sad #gamon #katakatasad"
MKTG_FREE_TRNG,RT @Ro8391: #GlobalWarming #Sad https://t.co/uAdrHF6bGs
ChoPpeeDR,"Ojalá tuviera padrinos mágicos y pedirles un deseo. ""Que te enamores de mí"" 😪🤧 #Sad"
davidsanger,@NoLieWithBTC #sad == #pathetic
GSFCbob,RT @XmiEmi: Gave this to my bf because he wasnt talking to me #sad https://t.co/5YMGIEkPsH
DrBusyhead,B1G went out big time being fake tough…. #Sad
SamENole,@chapmoney713 Everyone knows the Big 10 sucks.  No titles since 2000.  #Sad
unsaidjocelyn,i think it might be my period but i’m feeling #sad
KL3V4S_B,"Já Disponível 
"" Problemas "" 
De Klevas B com a colaboração de Erick Antonio ( HOTMOON ).
Primeira faixa no estilo de R&amp;B Slow espero que gostem...

Link:
https://t.co/OgrN4SZSDR

#lovesongs #sad #OneLove #Angola #Mozambique #Portugal #CaboVerde #feelingthelove"
Otmar_Ballmann,ANGAD NISHAD 10M - new love status💞 2022❤️#shorts #sad #love #angad_nishad_10m #status - https://t.co/RlWkvm3Fyk
Otmar_Ballmann,ANGAD NISHAD 10M - new love status💞 2022❤️ #shorts #sad #love #angad_nishad_10m #status - https://t.co/dsVrsUGXTj
RodneyRahl,"@FarmersInsAZ 
Pretty sad day for me and my claims.  Never had this issue with any other company.  Check my claim.  #sad #mymistake"
LuzdeLu82659949,#Sad https://t.co/F576WGsuMI
BenjaminSchott,Purdue is a cruel joke of pain with hoops. Amazing!!! Back to weather…let’s hope that hurricane season is not as bad as Purdue Basketball. #sad
Andrea54028906,"Cuando llueva durante la primavera, no temeré, recordaré las lecciones del pasado y simplemente bailaré bajo la lluvia, viviré la tormenta y renacerá dentro de mi la llama que me impulsa a vivir.
#sad #aloneagain https://t.co/rzQlzpXGSn"
this_waffle,RT @XmiEmi: Gave this to my bf because he wasnt talking to me #sad https://t.co/5YMGIEkPsH
padrejeremyh,Freddie Freeman looks ugly in a Dodger jersey #sad Charlie deserves better
HXsays,"@SenSasse you small Insignificant man and now with a cherry Coward on top…. How sad and fragile you must be to not be able to vote for a well qualified, extremely intelligent woman who happens to be black. #sad #disgrace #insignificantman"
Laurna55944303,"RT @Meh_pu_Bruh: broken dream.

#digitalart #digitalarts  #digitalartwork #art #illustration #illustrationartists #illustrations #drawing #…"
JThekhalish,RT @XmiEmi: Gave this to my bf because he wasnt talking to me #sad https://t.co/5YMGIEkPsH
AHess19,Me after betting everything I own on Purdue -12.5…#NCAATournament #broke #homeless #taxwriteoff #sad #Purdue https://t.co/LxYEPdDVOH
galactic_ditto,RT @EliteMassager: #followforfollow #happy #style #life #photo #nature #cute #insta #model #music #travel #likesforlike #girl #selfie #vira…
EliteMassager,#followforfollow #happy #style #life #photo #nature #cute #insta #model #music #travel #likesforlike #girl #selfie #viral  #liker #lfl #yourself #lifestyle #likeback #sad #thoughts #writer #photographer #k #photoshoot #india https://t.co/hDgLBQCWRV
N4TAIR,"No fui invitado a ningún evento de Fortnite, sad chet :,) 

#sad #Fortnite #truste"
brii_divaa,"Cansada de darlo todo y recibir mierda tras mierda,  a veces todo el esfuerzo no alcanza ni para la mita😔☹️
#Sad"
MajestyCaribe2,RT @imlespier: Me visto como PNP y me para un guardia. No falla! #Sad https://t.co/21hAKOaknX
marcjef,"@Jim_Jordan Make Republicans NOT Suck Again.
Restore intelligence, honor, dignity &amp; CLASS to the #GOP… oh wait- you guys NEVER had it to begin with. Dumping TRUMP as your DemiGod would be a great first step. I mean, REALLY? Is he the VERY BEST you can do? #sad #GOPHypocrisy #resiststupid 🇺🇸"
upthedowncycle,"@rebeccahahnppc @K_Nantu99 @BruceVConway @MICHAELCTV @FarmBoy @ctvottawa Ur afraid of masks.

👍

Maskey hurt facey.

#sad

Hopefully mandates come back when Libs voted in provincial.

Were gonna need it.
#MasksWork 
#mandatesWork 

https://t.co/l3GawFswUk"
CoachTJSalb,The head ref in the @WashSpirit vs @GothamFC thinks this #ChallengeCup game is about her apparently. #Sad
mpparker7,@HuffPostPol The #SupremeCourt is made up of #politicalhacks currently an extension of the #GOP #sad … but  true #SCOTUS
bluth_mike,@nexta_tv Crooked Vanky is trying to rehabilitate her image #sad
DTrumpFan,Roger Ailes signs his Holiday Cards Season's Beatings - Donald Trump #TrumpChristian? #Sad #Deficit #magictrump?
starrifle,"@briantylercohen @LindseyGrahamSC Brian you nailed it on the head, but sen. graham gives you plenty to work with.  #sad"
TogetherWeRis11,"@RonFilipkowski If that’s as much enthusiasm as your friends can muster for the birthday song, I think it’s safe to say your friends hate you. I legit thought they had slowed the audio track as a joke. #sad"
A_Slapintheface,Tight game here with #StPetersbasketball and #Purdue and we can’t get a replay on tough foul calls. #sad
SGUHandWashBot,"Hate to bother you, but don't forget to wash your hands! Enjoy your day! #SAD"
vip88d,RT @Ro8391: #GlobalWarming #Sad https://t.co/uAdrHF6bGs
HimuroNoa_,no puedo pasar un nivel con 3 estrellas #sad
PumpkinSome,RT @XmiEmi: Gave this to my bf because he wasnt talking to me #sad https://t.co/5YMGIEkPsH
TSpirael,"RT @PencilSans: Dust and paps is cute, (´✪ω✪`) Horror too, and Killer too. How calm down somebody? ♡´･ᴗ･`♡. 
Dust's also sad (T^T) . 
#dust…"
LucyLou_Demorin,"@mkraju That’s a sad, cowardly position. #sad hope karma remembers."
DavidBeazley4,"#Sad.
Australia’s anti-vaccine movement is collapsing via @crikey_news https://t.co/8BOFUXdz7O"
ClexaGlobal,"RT @Jessica49349996: “i don’t want the next Commander, i want you” this is one of the saddest lines and one of the best in the 100 #The100…"
BotForEquality,"RT @JamesLDulin: The bar for a ""good man"" is so low in heterosexual relationships. My wife regularly gets told how lucky she is by other wo…"
JamesLDulin,"The bar for a ""good man"" is so low in heterosexual relationships. My wife regularly gets told how lucky she is by other women because I also parent our kids. #WTF #Patriarchy #Feminism #sad"
mintyseungmo,#pain #sakit #sad #haha https://t.co/h5eOtgwQIR
D4V1D89262970,RT @XmiEmi: Gave this to my bf because he wasnt talking to me #sad https://t.co/5YMGIEkPsH
FMeuwissen,"@EWErickson Hunter's emails don't implicate, and thomas' wife was coordinating with the white house about a coup.

But you do you. You are noting better than any other run-of-the mill, covid denying trumpist. #sad"
cftsmads,RT @SashieKool: The adults failed him. He was obviously too big for that ride and you can see it’s not secured. #rip #florida #iconpark #sa…
RikFetahu,"The SAITAMA is struggling downfall from November, why we need Realty we need the real coin ( SAITAMA ) to succeed #sad #sorry"
TobiStone15,RT @XmiEmi: Gave this to my bf because he wasnt talking to me #sad https://t.co/5YMGIEkPsH
DafushanQuotes,RT @BinMirza1: #binmirza #Friends #motivation #Sad #knowledge #sufi #sufism #Tweet #Viral https://t.co/myLMkWx8Ly
BinMirza1,#binmirza #Friends #motivation #Sad #knowledge #sufi #sufism #Tweet #Viral https://t.co/myLMkWx8Ly
